date,dayofyear,year,product_Product B,product_Product C,revenue_pred
2025-01-01,1,2025,0,0,952.3283801937359
2025-01-02,2,2025,0,0,952.7640609364025
2025-01-03,3,2025,0,0,953.1997416790691
2025-01-04,4,2025,0,0,953.6354224217939
2025-01-05,5,2025,0,0,954.0711031644605
2025-01-06,6,2025,0,0,954.5067839071271
2025-01-07,7,2025,0,0,954.9424646497937
2025-01-08,8,2025,0,0,955.3781453924603
2025-01-09,9,2025,0,0,955.8138261351269
2025-01-10,10,2025,0,0,956.2495068777935
2025-01-11,11,2025,0,0,956.68518762046
2025-01-12,12,2025,0,0,957.1208683631849
2025-01-13,13,2025,0,0,957.5565491058514
2025-01-14,14,2025,0,0,957.992229848518
2025-01-15,15,2025,0,0,958.4279105911846
2025-01-16,16,2025,0,0,958.8635913338512
2025-01-17,17,2025,0,0,959.2992720765178
2025-01-18,18,2025,0,0,959.7349528191844
2025-01-19,19,2025,0,0,960.170633561851
2025-01-20,20,2025,0,0,960.6063143045758
2025-01-21,21,2025,0,0,961.0419950472424
2025-01-22,22,2025,0,0,961.477675789909
2025-01-23,23,2025,0,0,961.9133565325756
2025-01-24,24,2025,0,0,962.3490372752422
2025-01-25,25,2025,0,0,962.7847180179087
2025-01-26,26,2025,0,0,963.2203987605753
2025-01-27,27,2025,0,0,963.6560795032419
2025-01-28,28,2025,0,0,964.0917602459667
2025-01-29,29,2025,0,0,964.5274409886333
2025-01-30,30,2025,0,0,964.9631217312999
